timestamps,open,high,low,close,volume,amount
2015-09-17 06:00:00,1120.74,1121.38,1120.23,1120.6,593,664515.7999999999
2015-09-17 07:00:00,1120.58,1120.7,1119.81,1119.9,451,505074.9
2015-09-17 08:00:00,1119.85,1120.74,1119.83,1120.05,907,1015885.35
2015-09-17 09:00:00,1120.03,1121.68,1119.9,1120.2,1389,1555957.8
2015-09-17 10:00:00,1120.25,1121.25,1119.62,1120.83,1125,1260933.75
2015-09-17 11:00:00,1120.78,1121.24,1118.76,1119.47,1069,1196713.43
2015-09-17 12:00:00,1119.44,1119.57,1117.11,1118.07,1224,1368517.68
2015-09-17 13:00:00,1118.03,1118.28,1115.76,1117.07,941,1051162.87
2015-09-17 14:00:00,1117.05,1117.63,1116.03,1116.36,1044,1165479.84
2015-09-17 15:00:00,1116.37,1118.27,1116.03,1116.89,1938,2164532.8200000003
2015-09-17 16:00:00,1116.82,1119.4,1115.24,1117.6,2638,2948228.8
2015-09-17 17:00:00,1117.7,1119.28,1117.01,1117.93,2647,2959160.71
2015-09-17 18:00:00,1117.98,1118.7,1116.72,1117.37,1960,2190045.2
2015-09-17 19:00:00,1117.34,1118.08,1116.74,1117.62,1700,1899954.0
2015-09-17 20:00:00,1117.53,1118.6,1116.63,1117.82,2497,2791196.54
2015-09-17 21:00:00,1117.82,1133.46,1117.82,1132.17,11961,13541885.37
2015-09-17 22:00:00,1132.13,1133.27,1130.31,1131.35,3210,3631633.5
2015-09-17 23:00:00,1131.39,1135.7,1130.84,1131.3,966,1092835.8
2015-09-18 01:00:00,1130.87,1132.14,1130.74,1132.06,320,362259.2
2015-09-18 02:00:00,1132.07,1132.08,1130.72,1130.85,326,368657.1
2015-09-18 03:00:00,1130.84,1131.58,1129.46,1129.78,1054,1190788.12
2015-09-18 04:00:00,1129.73,1131.56,1128.47,1129.99,2247,2539087.53
2015-09-18 05:00:00,1129.98,1130.04,1127.61,1127.97,1195,1347924.15
2015-09-18 06:00:00,1127.93,1128.47,1127.43,1127.54,646,728390.84
2015-09-18 07:00:00,1127.63,1129.42,1127.47,1128.94,798,900894.12
2015-09-18 08:00:00,1128.98,1129.92,1128.22,1129.24,1038,1172151.12
2015-09-18 09:00:00,1129.18,1130.02,1127.47,1128.23,1531,1727320.13
2015-09-18 10:00:00,1128.26,1130.9,1128.18,1130.9,1375,1554987.5000000002
2015-09-18 11:00:00,1130.86,1133.38,1130.1,1133.32,1348,1527715.36
2015-09-18 12:00:00,1133.27,1138.59,1133.26,1136.42,2077,2360344.3400000003
2015-09-18 13:00:00,1136.54,1139.41,1136.33,1136.92,1663,1890697.96
2015-09-18 14:00:00,1136.96,1137.68,1135.14,1135.78,1617,1836556.26
2015-09-18 15:00:00,1135.74,1141.56,1132.48,1140.06,4318,4922779.08
2015-09-18 16:00:00,1140.13,1141.32,1137.67,1140.76,4521,5157375.96
2015-09-18 17:00:00,1140.71,1141.61,1135.79,1137.23,4042,4596683.66
2015-09-18 18:00:00,1137.2,1138.01,1136.01,1137.16,2614,2972536.24
2015-09-18 19:00:00,1137.14,1138.58,1136.99,1137.78,2152,2448502.56
2015-09-18 20:00:00,1137.72,1138.4,1136.35,1136.5,1480,1682020.0
2015-09-18 21:00:00,1136.41,1138.11,1136.11,1137.8,1144,1301643.2
2015-09-18 22:00:00,1137.76,1139.71,1136.64,1139.64,943,1074680.52
2015-09-18 23:00:00,1139.55,1139.6,1138.23,1138.85,525,597896.25
2015-09-21 01:00:00,1139.18,1139.18,1137.04,1137.53,450,511888.5
2015-09-21 02:00:00,1137.47,1137.79,1137.08,1137.22,291,330931.02
2015-09-21 03:00:00,1137.27,1137.85,1135.8,1137.78,623,708836.94
2015-09-21 04:00:00,1137.72,1138.64,1136.94,1137.4,819,931530.6
2015-09-21 05:00:00,1137.39,1137.88,1136.97,1137.73,551,626889.23
2015-09-21 06:00:00,1137.82,1138.21,1136.97,1137.26,387,440119.62
2015-09-21 07:00:00,1137.21,1137.84,1137.08,1137.51,393,447041.43
2015-09-21 08:00:00,1137.47,1139.31,1137.41,1139.08,799,910124.92
2015-09-21 09:00:00,1139.1,1139.76,1138.35,1139.18,1418,1615357.24
2015-09-21 10:00:00,1139.13,1139.31,1138.08,1138.85,1038,1182126.2999999998
2015-09-21 11:00:00,1138.77,1139.38,1138.25,1138.54,744,847073.76
2015-09-21 12:00:00,1138.49,1138.49,1136.58,1136.58,941,1069521.78
2015-09-21 13:00:00,1136.61,1137.47,1136.09,1136.88,646,734424.4800000001
2015-09-21 14:00:00,1136.9,1137.65,1129.35,1130.67,1632,1845253.44
2015-09-21 15:00:00,1130.64,1134.67,1130.53,1133.03,1843,2088174.29
2015-09-21 16:00:00,1133.01,1134.64,1131.59,1133.59,2061,2336328.99
2015-09-21 17:00:00,1133.58,1134.18,1130.65,1130.96,2249,2543529.04
2015-09-21 18:00:00,1130.97,1133.1,1130.97,1132.93,1592,1803624.56
2015-09-21 19:00:00,1132.99,1133.62,1132.47,1133.06,1162,1316615.72
2015-09-21 20:00:00,1133.04,1133.93,1131.2,1132.59,1577,1786094.43
2015-09-21 21:00:00,1132.55,1133.43,1131.94,1132.26,574,649917.24
2015-09-21 22:00:00,1132.36,1133.27,1132.36,1132.99,549,622011.51
2015-09-21 23:00:00,1133.05,1133.4,1132.94,1133.12,305,345601.6
2015-09-22 01:00:00,1132.74,1133.06,1132.6,1132.72,274,310365.28
2015-09-22 02:00:00,1132.69,1132.73,1132.13,1132.2,193,218514.6
2015-09-22 03:00:00,1132.21,1133.9,1132.21,1133.45,403,456780.35
2015-09-22 04:00:00,1133.37,1134.48,1133.03,1134.1,478,542099.7999999999
2015-09-22 05:00:00,1134.12,1134.66,1133.14,1133.8,528,598646.4
2015-09-22 06:00:00,1133.78,1133.92,1133.09,1133.5,309,350251.5
2015-09-22 07:00:00,1133.53,1133.72,1132.89,1133.12,205,232289.6
2015-09-22 08:00:00,1133.11,1134.31,1132.93,1133.71,642,727841.8200000001
2015-09-22 09:00:00,1133.7,1134.36,1132.22,1132.97,1136,1287053.92
2015-09-22 10:00:00,1132.99,1136.49,1132.8,1134.99,1723,1955587.77
2015-09-22 11:00:00,1135.05,1135.47,1134.13,1134.89,903,1024805.67
2015-09-22 12:00:00,1134.85,1134.93,1128.3,1130.12,2243,2534859.16
2015-09-22 13:00:00,1130.05,1132.19,1126.2,1128.3,1744,1967755.2
2015-09-22 14:00:00,1128.26,1129.28,1126.72,1128.16,1536,1732853.7600000002
2015-09-22 15:00:00,1128.1,1130.36,1123.05,1123.81,3638,4088420.78
2015-09-22 16:00:00,1123.88,1123.98,1121.19,1123.66,3804,4274402.640000001
2015-09-22 17:00:00,1123.68,1125.09,1121.83,1124.74,2355,2648762.7
2015-09-22 18:00:00,1124.65,1126.81,1124.53,1125.45,2181,2454606.45
2015-09-22 19:00:00,1125.41,1126.58,1124.95,1125.66,1096,1233723.36
2015-09-22 20:00:00,1125.68,1126.32,1124.38,1125.71,1315,1480308.65
2015-09-22 21:00:00,1125.64,1126.03,1124.89,1125.88,836,941235.68
2015-09-22 22:00:00,1125.9,1126.12,1124.41,1125.11,506,569305.6599999999
2015-09-22 23:00:00,1125.09,1125.39,1124.25,1124.45,470,528491.5
2015-09-23 01:00:00,1124.78,1124.98,1124.24,1124.94,341,383604.54
2015-09-23 02:00:00,1124.99,1125.39,1123.96,1124.34,318,357540.12
2015-09-23 03:00:00,1124.3,1125.05,1123.11,1124.29,395,444094.55
2015-09-23 04:00:00,1124.33,1124.95,1122.18,1122.39,1033,1159428.87
2015-09-23 05:00:00,1122.47,1124.61,1121.74,1123.89,937,1053084.9300000002
2015-09-23 06:00:00,1123.88,1124.8,1123.8,1124.43,267,300222.81
2015-09-23 07:00:00,1124.47,1124.51,1123.37,1123.85,399,448416.15
2015-09-23 08:00:00,1123.83,1126.14,1123.37,1126.03,865,974015.95
2015-09-23 09:00:00,1126.02,1126.99,1125.68,1126.89,1497,1686954.33
2015-09-23 10:00:00,1127.01,1128.15,1126.59,1127.2,1135,1279372.0
2015-09-23 11:00:00,1127.19,1128.05,1126.65,1126.9,969,1091966.1
2015-09-23 12:00:00,1126.93,1127.62,1124.32,1125.55,1187,1336027.85
2015-09-23 13:00:00,1125.58,1125.99,1124.93,1125.38,401,451277.38000000006
2015-09-23 14:00:00,1125.3,1131.35,1124.74,1130.89,1300,1470157.0000000002
2015-09-23 15:00:00,1130.93,1131.2,1128.61,1129.7,1521,1718273.7
2015-09-23 16:00:00,1129.8,1134.12,1128.93,1131.51,3357,3798479.07
2015-09-23 17:00:00,1131.49,1132.76,1129.82,1130.03,2349,2654440.47
2015-09-23 18:00:00,1129.97,1132.26,1129.93,1131.8,1889,2137970.2
2015-09-23 19:00:00,1131.76,1133.39,1130.92,1132.36,1245,1409788.2
2015-09-23 20:00:00,1132.26,1132.49,1131.05,1131.49,1105,1250296.45
2015-09-23 21:00:00,1131.46,1132.01,1130.8,1130.93,738,834626.3400000001
2015-09-23 22:00:00,1130.95,1131.53,1129.53,1129.63,527,595315.01
2015-09-23 23:00:00,1129.67,1130.39,1129.67,1130.09,334,377450.06
2015-09-24 01:00:00,1130.72,1131.31,1130.66,1130.7,117,132291.9
2015-09-24 02:00:00,1130.61,1131.91,1130.25,1131.91,280,316934.80000000005
2015-09-24 03:00:00,1131.83,1132.23,1130.41,1131.69,709,802368.2100000001
2015-09-24 04:00:00,1131.62,1133.38,1131.3,1132.91,815,923321.65
2015-09-24 05:00:00,1132.98,1135.97,1132.98,1135.87,1169,1327832.0299999998
2015-09-24 06:00:00,1135.86,1136.07,1134.67,1134.95,723,820568.85
2015-09-24 07:00:00,1134.96,1135.86,1133.63,1134.1,604,684996.3999999999
2015-09-24 08:00:00,1134.05,1135.02,1133.8,1134.58,745,845262.1
2015-09-24 09:00:00,1134.59,1137.57,1134.2,1136.6,1097,1246850.2
2015-09-24 10:00:00,1136.62,1137.21,1135.62,1135.98,1112,1263209.76
2015-09-24 11:00:00,1135.91,1136.74,1134.7,1135.32,998,1133049.36
2015-09-24 12:00:00,1135.27,1135.81,1134.18,1134.67,1283,1455781.61
2015-09-24 13:00:00,1134.66,1135.79,1134.28,1135.37,1092,1239824.0399999998
2015-09-24 14:00:00,1135.41,1136.26,1135.26,1135.81,973,1105143.13
2015-09-24 15:00:00,1135.77,1138.65,1135.66,1138.62,3137,3571850.9399999995
2015-09-24 16:00:00,1138.73,1154.87,1138.48,1152.79,8464,9757214.56
2015-09-24 17:00:00,1152.84,1155.47,1151.74,1154.4,6720,7757568.000000001
2015-09-24 18:00:00,1154.45,1156.62,1153.55,1154.95,3837,4431543.15
2015-09-24 19:00:00,1154.92,1154.95,1151.47,1152.62,2914,3358734.68
2015-09-24 20:00:00,1152.7,1154.51,1152.6,1153.46,2136,2463790.56
2015-09-24 21:00:00,1153.4,1153.5,1150.58,1151.14,1407,1619653.9800000002
2015-09-24 22:00:00,1151.08,1153.62,1150.33,1152.8,1025,1181620.0
2015-09-24 23:00:00,1152.9,1154.08,1151.98,1153.81,1010,1165348.1
2015-09-25 01:00:00,1149.51,1151.05,1149.08,1149.9,698,802630.2000000001
2015-09-25 02:00:00,1149.92,1150.37,1149.56,1149.76,353,405865.28
2015-09-25 03:00:00,1149.66,1150.21,1148.93,1149.62,990,1138123.7999999998
2015-09-25 04:00:00,1149.67,1151.07,1149.47,1150.35,1182,1359713.7
2015-09-25 05:00:00,1150.3,1150.71,1147.94,1148.31,1286,1476726.66
2015-09-25 06:00:00,1148.28,1148.28,1146.12,1146.99,1106,1268570.94
2015-09-25 07:00:00,1146.94,1147.26,1146.31,1146.68,654,749928.7200000001
2015-09-25 08:00:00,1146.72,1148.05,1146.47,1147.64,1124,1289947.36
2015-09-25 09:00:00,1147.63,1148.0,1145.89,1146.6,1418,1625878.7999999998
2015-09-25 10:00:00,1146.55,1146.55,1144.34,1144.5,1582,1810599.0
2015-09-25 11:00:00,1144.49,1144.51,1140.59,1141.94,2145,2449461.3000000003
2015-09-25 12:00:00,1141.9,1145.05,1141.65,1143.76,1368,1564663.68
2015-09-25 13:00:00,1143.77,1144.87,1143.17,1144.57,746,853849.22
2015-09-25 14:00:00,1144.53,1144.57,1142.99,1144.0,1347,1540968.0
2015-09-25 15:00:00,1143.93,1144.9,1140.61,1144.08,3727,4263986.16
2015-09-25 16:00:00,1144.0,1147.76,1143.52,1147.37,4496,5158575.52
2015-09-25 17:00:00,1147.32,1147.43,1143.85,1144.55,4020,4601091.0
2015-09-25 18:00:00,1144.6,1146.4,1143.51,1145.92,2219,2542796.48
2015-09-25 19:00:00,1145.94,1146.34,1145.2,1145.54,1250,1431925.0
2015-09-25 20:00:00,1145.64,1146.63,1144.62,1145.48,1296,1484542.08
2015-09-25 21:00:00,1145.49,1146.65,1144.48,1146.6,1022,1171825.2
2015-09-25 22:00:00,1146.64,1148.53,1146.29,1146.29,1157,1326257.53
2015-09-25 23:00:00,1146.33,1146.43,1144.99,1146.12,579,663603.48
2015-09-28 01:00:00,1145.3,1146.51,1144.29,1146.3,420,481446.0
2015-09-28 02:00:00,1146.28,1146.69,1146.24,1146.66,264,302718.24000000005
2015-09-28 03:00:00,1146.61,1148.11,1145.9,1146.53,949,1088056.97
